Model,Variation,R2,RMSE,MAE,MSE,MAPE,Train_R2,Time_s
XGBoost,V1: All Features,0.657352,10.283581,0.191631,105.752,8151.6513,1.0,4.1
LightGBM,V1: All Features,-1.888254,29.856418,1.030231,891.4057,1699336.1153,0.917493,3.2
CatBoost,V1: All Features,0.97613,2.714202,0.24311,7.3669,524104.2373,0.999951,12.8
Elastic Net,V1: All Features,0.812716,7.602746,0.563675,57.8017,2276391.6676,0.99465,3.5
LSTM,V1: All Features,0.881852,6.038569,0.595541,36.4643,4417357.2859,0.491788,183.6
1D-CNN,V1: All Features,-3.893773,38.863504,2.532269,1510.3719,7413803.936,0.744596,32.5
XGBoost,V2: Var+Corr Filtered,0.42906,13.274414,0.228416,176.2101,23626.7906,0.999927,4.6
LightGBM,V2: Var+Corr Filtered,-2.252883,31.685037,1.010085,1003.9416,1443240.667,0.884924,3.0
CatBoost,V2: Var+Corr Filtered,0.971511,2.965242,0.307642,8.7927,2004733.7788,0.999881,10.1
Elastic Net,V2: Var+Corr Filtered,0.822432,7.402906,0.555706,54.803,2340388.8096,0.994678,0.5
LSTM,V2: Var+Corr Filtered,0.255234,15.16107,2.444625,229.858,1019104.2975,0.007879,50.1
1D-CNN,V2: Var+Corr Filtered,-6.768554,48.965492,3.136427,2397.6194,32059401.9345,0.749486,31.8
XGBoost,V3: +MI Filtered,0.755493,8.686919,0.161073,75.4626,17213.4975,0.999927,3.1
LightGBM,V3: +MI Filtered,-2.164898,31.25359,1.055983,976.7869,1710204.7785,0.885082,3.1
CatBoost,V3: +MI Filtered,0.950407,3.912269,0.350214,15.3059,2770039.7176,0.999883,10.0
Elastic Net,V3: +MI Filtered,0.822421,7.403139,0.554705,54.8065,2345803.4058,0.994678,0.5
LSTM,V3: +MI Filtered,0.272396,14.985375,2.091396,224.5615,793864.7235,0.007995,50.2
1D-CNN,V3: +MI Filtered,0.394198,13.673678,3.051194,186.9695,91814753.1404,0.321907,29.4
XGBoost,V4: +Lasso Selected,-12.089967,63.560791,1.304107,4039.9742,207460.4635,0.867661,1.9
LightGBM,V4: +Lasso Selected,-20.319972,81.117272,2.432809,6580.0119,1441139.1554,0.57668,2.2
CatBoost,V4: +Lasso Selected,-17.377612,75.312067,1.204974,5671.9074,97560.1318,0.756604,4.0
Elastic Net,V4: +Lasso Selected,0.928226,4.70656,0.267202,22.1517,1730716.4932,0.997367,0.0
LSTM,V4: +Lasso Selected,0.269645,15.013671,1.767991,225.4103,1212570.4771,0.006758,38.6
1D-CNN,V4: +Lasso Selected,0.583791,11.333801,3.521252,128.455,67303483.6806,0.97051,31.7
